horizon,row_set,model,parking_id,n,ml_mae,evaluable,passes
15,core,ml,7,653,0.26416539050535986,True,True
15,core,ml,8,1366,1.9619178286576886,True,True
15,core,ml,9,1366,1.3468611948322964,True,True
15,core,ml,10,1366,1.1306661499320387,True,True
15,core,ml,11,1366,2.58467908677454,True,True
15,core,ml,12,1366,0.7397269025160622,True,True
15,core,ml,13,1366,1.5508968409354535,True,True
15,core,ml,14,220,1.0782241014799154,True,True
15,core,ml,16,1366,0.8730905766262669,True,True
15,core,ml,17,1366,0.8129078748593929,True,True
15,core,ml,18,1366,1.565881901837459,True,True
15,core,ml,20,1366,1.2202139615312813,True,True
15,core,ml,21,1366,1.2146061535306125,True,True
15,core,ml,22,349,5.14006451045616,True,True
15,core,ml,23,231,1.7813827882213296,True,True
15,core,ml,24,1366,1.600086180495969,True,True
15,core,ml,25,1366,1.8462249396080548,True,True
15,core,ml,26,1075,2.967411990005651,True,True
15,core,ml,27,1366,1.0523801652834648,True,True
15,core,ml,28,1366,1.807508583357505,True,True
15,core,ml,29,1366,3.214527362401502,True,True
15,core,ml,30,1366,3.768749345111358,True,True
15,core,ml,31,1366,1.5962076514350294,True,True
15,core,ml,33,1366,2.2927257924471074,True,True
15,core,ml,34,1366,1.3986168709746707,True,True
15,core,ml,36,1366,1.3000146178883454,True,True
15,core,ml,37,1366,0.9095083622348541,True,True
15,core,ml,38,1366,1.5232571049948014,True,True
15,core,ml,39,1366,1.3065128736180198,True,True
15,core,ml,40,1366,2.4077799792047907,True,True
15,core,ml,42,1366,1.6090049593393239,True,True
15,core,ml,48,633,7.550471276668494,True,True
15,core,ml,52,216,3.4061279559589708,True,True
15,core,ml,53,652,3.768881528749812,True,True
15,core,ml,56,361,6.74877296751035,True,True
15,core,ml,81,1366,2.2850403755286157,True,True
15,core,ml,82,1366,0.8619762497044211,True,True
15,core,ml,106,1366,0.7148393764533632,True,True
15,core,ml,108,1366,0.9253905369827924,True,True
15,core,ml,112,1366,2.8735963603708945,True,True
15,core,ml,121,1366,0.9139091651625525,True,True
15,core,ml,161,280,6.349895403486802,True,True
15,core,ml,162,277,7.127716212719443,True,True
15,core,ml,163,283,2.245942364117508,True,True
15,core,ml,164,281,4.914644775388974,True,True
15,core,ml,165,283,10.45934064332942,True,False
15,core,ml,166,283,4.839536109983357,True,True
15,core,ml,167,283,9.195408699792322,True,True
15,core,ml,168,283,6.76536036965514,True,True
15,core,ml,169,281,9.66804481044143,True,True
15,core,ml,170,283,7.454403220266095,True,True
15,core,ml,171,283,6.6778512639567,True,True
15,core,ml,172,256,2.175249174912608,True,True
15,core,ml,181,1366,1.637654242283001,True,True
15,core,ml,182,1366,2.2275674545074255,True,True
15,core,ml,183,1366,3.1701268668200937,True,True
15,core,ml,201,1366,1.8124592971156772,True,True
15,core,ml,241,414,8.166976643862771,True,True
15,core,ml,261,414,5.864712021600874,True,True
15,core,ml,262,414,6.87719909200511,True,True
15,core,ml,401,1366,3.071270031618934,True,True
15,core,ml,421,1366,2.060133101240681,True,True
15,core,ml,441,1366,2.2029525914694417,True,True
15,core,ml,461,1366,2.288686147362787,True,True
15,core,ml,521,1366,0.9620368033755016,True,True
15,core,ml,522,1366,0.7446087955369578,True,True
15,all,ml,7,378,0.4166666666666667,True,True
15,all,ml,8,656,2.299524277172186,True,True
15,all,ml,9,656,1.3672611178145562,True,True
15,all,ml,10,656,1.3164656957022496,True,True
15,all,ml,11,656,2.5588088448163906,True,True
15,all,ml,12,656,1.0068160371916874,True,True
15,all,ml,13,656,2.148034266755031,True,True
15,all,ml,14,179,0.8314927893984669,True,True
15,all,ml,16,656,1.0282990639017562,True,True
15,all,ml,17,656,1.0763995581992667,True,True
15,all,ml,18,656,1.8604885939157585,True,True
15,all,ml,20,656,1.1609799003429377,True,True
15,all,ml,21,656,1.3347994904999776,True,True
15,all,ml,22,230,4.991130075885697,True,True
15,all,ml,23,172,1.8133997785160572,True,True
15,all,ml,24,656,1.8862735097951835,True,True
15,all,ml,25,656,2.237371642198747,True,True
15,all,ml,26,607,3.0352262207446246,True,True
15,all,ml,27,656,1.090275000201437,True,True
15,all,ml,28,656,2.0925234731111715,True,True
15,all,ml,29,656,4.1571232795022395,True,True
15,all,ml,30,656,4.3174582040323415,True,True
15,all,ml,31,656,1.5184578156381439,True,True
15,all,ml,33,656,3.1398226565237377,True,True
15,all,ml,34,656,1.5921664328874305,True,True
15,all,ml,36,656,1.6301400589003094,True,True
15,all,ml,37,656,1.0546329285325173,True,True
15,all,ml,38,656,2.014827091904132,True,True
15,all,ml,39,656,1.5314565976282164,True,True
15,all,ml,40,656,2.8846963184863985,True,True
15,all,ml,42,656,1.6356586123522088,True,True
15,all,ml,48,366,7.51066986258456,True,True
15,all,ml,52,175,3.462487147857936,True,True
15,all,ml,53,373,3.9282344432557394,True,True
15,all,ml,56,242,6.898168455166896,True,True
15,all,ml,81,656,2.5373913452297856,True,True
15,all,ml,82,656,0.918644558405113,True,True
15,all,ml,106,656,1.4840387374461979,True,True
15,all,ml,108,647,1.5658286048057048,True,True
15,all,ml,112,656,3.567695670587305,True,True
15,all,ml,121,656,1.1761623203024232,True,True
15,all,ml,161,223,5.9713740878107595,True,True
15,all,ml,162,224,7.324661762341334,True,True
15,all,ml,163,229,2.5715672003881607,True,True
15,all,ml,164,228,4.863592476287901,True,True
15,all,ml,165,227,11.541821154459143,True,False
15,all,ml,166,230,4.881196981639943,True,True
15,all,ml,167,230,10.162731914959641,True,False
15,all,ml,168,224,6.800928330946872,True,True
15,all,ml,169,228,9.290356412658959,True,True
15,all,ml,170,230,7.273559907432331,True,True
15,all,ml,171,230,7.21840324163959,True,True
15,all,ml,172,203,2.576185894721086,True,True
15,all,ml,181,656,1.9340232444240826,True,True
15,all,ml,182,656,2.112369337979094,True,True
15,all,ml,183,656,4.159582467311423,True,True
15,all,ml,201,656,2.567916293533179,True,True
15,all,ml,241,275,8.788108566064981,True,True
15,all,ml,261,273,5.549610262424669,True,True
15,all,ml,262,275,7.148686763141518,True,True
15,all,ml,401,656,3.457535429178134,True,True
15,all,ml,421,656,2.561577356524194,True,True
15,all,ml,441,656,2.81898661038801,True,True
15,all,ml,461,656,3.103801671523943,True,True
15,all,ml,521,656,1.0481183138321677,True,True
15,all,ml,522,656,0.8076061166874363,True,True
30,core,ml,7,610,0.4535743113206158,True,True
30,core,ml,8,1296,2.5461765454348955,True,True
30,core,ml,9,1296,1.925107492663195,True,True
30,core,ml,10,1296,1.7037696074274484,True,True
30,core,ml,11,1296,3.7163860324623235,True,True
30,core,ml,12,1296,1.165972077317392,True,True
30,core,ml,13,1296,2.412258204589895,True,True
30,core,ml,14,201,1.7800633558751358,True,True
30,core,ml,16,1296,1.188413725802132,True,True
30,core,ml,17,1296,1.2867095403053739,True,True
30,core,ml,18,1296,2.213764445135296,True,True
30,core,ml,20,1296,1.8366040186974504,True,True
30,core,ml,21,1296,1.787067326039733,True,True
30,core,ml,22,317,6.469096538806169,True,True
30,core,ml,23,210,2.5214575628508498,True,True
30,core,ml,24,1296,2.266665440534238,True,True
30,core,ml,25,1296,2.818065217513642,True,True
30,core,ml,26,1008,4.453450385359058,True,True
30,core,ml,27,1296,1.482818683597382,True,True
30,core,ml,28,1296,2.5580739860461184,True,True
30,core,ml,29,1296,4.610035221497128,True,True
30,core,ml,30,1296,6.464395531803092,True,True
30,core,ml,31,1296,2.462364975551874,True,True
30,core,ml,33,1296,3.239975660133438,True,True
30,core,ml,34,1296,2.0389951865943847,True,True
30,core,ml,36,1296,1.9551626746126265,True,True
30,core,ml,37,1296,1.2405278828044068,True,True
30,core,ml,38,1296,2.056448552278838,True,True
30,core,ml,39,1296,1.7892436805881138,True,True
30,core,ml,40,1296,3.790775511905039,True,True
30,core,ml,42,1296,2.667837278349201,True,True
30,core,ml,48,590,9.443946007816983,True,True
30,core,ml,52,197,4.240640651093398,True,True
30,core,ml,53,609,4.599506130683965,True,True
30,core,ml,56,327,7.8099996096049225,True,True
30,core,ml,81,1296,3.5626583838604016,True,True
30,core,ml,82,1296,1.2530825590003005,True,True
30,core,ml,106,1296,1.0816751794096149,True,True
30,core,ml,108,1296,1.6337277373252979,True,True
30,core,ml,112,1296,4.08177712762975,True,True
30,core,ml,121,1296,1.628404207387942,True,True
30,core,ml,161,258,8.724173893928818,True,True
30,core,ml,162,252,9.531335596071997,True,True
30,core,ml,163,258,3.7505928047500934,True,True
30,core,ml,164,258,5.726699021859581,True,True
30,core,ml,165,258,15.838601700732763,True,False
30,core,ml,166,258,6.174802608187458,True,True
30,core,ml,167,258,10.312248361814163,True,False
30,core,ml,168,258,9.89537700490526,True,True
30,core,ml,169,256,11.926485683149116,True,False
30,core,ml,170,258,10.141053807985367,True,False
30,core,ml,171,258,8.808538051710133,True,True
30,core,ml,172,234,2.5231569090573753,True,True
30,core,ml,181,1296,2.295262089746519,True,True
30,core,ml,182,1296,3.5518773230948812,True,True
30,core,ml,183,1296,5.016301289161231,True,True
30,core,ml,201,1296,3.0244948839110344,True,True
30,core,ml,241,380,9.884852899869172,True,True
30,core,ml,261,380,7.881892622796151,True,True
30,core,ml,262,380,10.048800093579949,True,False
30,core,ml,401,1296,4.54353672728545,True,True
30,core,ml,421,1296,2.927143367721381,True,True
30,core,ml,441,1296,3.1059481331055747,True,True
30,core,ml,461,1296,3.6714216005665965,True,True
30,core,ml,521,1296,1.4480565977800757,True,True
30,core,ml,522,1296,1.0730131526552926,True,True
30,all,ml,7,357,0.7054627751484072,True,True
30,all,ml,8,620,2.8219361632604043,True,True
30,all,ml,9,620,1.9625044792839144,True,True
30,all,ml,10,620,1.8881310281800692,True,True
30,all,ml,11,620,3.5299364165584453,True,True
30,all,ml,12,620,1.5291047724961542,True,True
30,all,ml,13,620,3.3396963522550838,True,True
30,all,ml,14,167,1.4684962996958886,True,True
30,all,ml,16,620,1.1805112395829342,True,True
30,all,ml,17,620,1.6362452905156004,True,True
30,all,ml,18,620,2.6365461054065134,True,True
30,all,ml,20,620,1.7093938954434766,True,True
30,all,ml,21,620,1.9797009218255344,True,True
30,all,ml,22,212,6.082566723771923,True,True
30,all,ml,23,157,2.595118547419495,True,True
30,all,ml,24,620,2.5908141002996725,True,True
30,all,ml,25,620,3.073118655774197,True,True
30,all,ml,26,571,4.669403755378418,True,True
30,all,ml,27,620,1.3624960448852885,True,True
30,all,ml,28,620,2.776769154179719,True,True
30,all,ml,29,620,5.729326647302697,True,True
30,all,ml,30,620,7.5544457338839,True,True
30,all,ml,31,620,2.1092235634633263,True,True
30,all,ml,33,620,4.433656710118672,True,True
30,all,ml,34,620,2.170146511801532,True,True
30,all,ml,36,620,2.337916456834799,True,True
30,all,ml,37,620,1.3784977613768528,True,True
30,all,ml,38,620,2.6405287926686087,True,True
30,all,ml,39,620,2.032482183626252,True,True
30,all,ml,40,620,4.361776154800288,True,True
